source,target,value
255884,1377666,1
255884,1693529,1
256212,987550,1
256212,1021811,1
256212,1084132,1
256212,1171332,1
256212,1555029,1
256212,1709174,1
256212,1709180,1
256491,1114158,1
256491,1188650,1
256491,1278387,1
256491,1428114,1
256491,1811048,1
256669,1271648,1
256813,255693,1
256855,256863,1
256855,1040151,2
256855,1073113,1
256855,1158542,1
256855,1288792,1
256855,1484528,1
256855,1640944,1
256863,1040151,2
256863,1073113,1
256863,1158542,1
256863,1288792,1
256863,1484528,1
256863,1640944,1
256917,1000544,1
256917,1009541,1
256917,1109446,1
256917,1245488,1
256917,1334515,1
256917,1433258,1
256937,256917,1
256937,1000544,1
256937,1009541,1
256937,1109446,1
256937,1229134,1
256937,1245488,1
256937,1334515,1
256937,1433258,1
257067,257077,1
257067,1077737,1
257067,1411518,1
257071,6682,1
257071,254448,1
257071,257067,1
257071,257077,1
257071,1077737,1
257071,1150992,1
257071,1180681,1
257071,1202759,1
257071,1240121,1
257071,1324714,1
257071,1411518,1
257071,1455596,1
257077,1411518,1
257089,258483,1
257089,996733,1
257089,1274620,1
257089,1276258,1
257089,1415416,1
257091,257089,1
257091,258477,1
257091,258483,1
257091,258493,1
257091,996733,1
257091,1204834,2
257091,1274620,1
257091,1276258,1
257091,1396186,1
257091,1402214,1
257091,1411417,1
257091,1415416,1
257249,5861,1
257249,256703,1
257249,1055404,1
257249,1163614,1
257249,1234022,1
257249,1796847,1
257335,1055627,1
257335,1072672,1
257335,1113058,1
257335,1159722,1
257335,1390118,1
257335,1575199,1
257335,1656336,1
257335,1756455,1
257391,250516,1
257391,1018114,1
257391,1058669,1
257391,1220314,1
257391,1252920,2
257391,1436549,2
257391,1601293,1
257391,1697493,1
257411,5720,1
257411,252392,1
257411,259324,1
257411,261070,1
257411,261080,1
257411,261088,1
257411,998549,1
257411,1033753,1
257411,1423810,1
257411,1580397,1
257563,842123,1
257563,1225200,1
257563,1243590,1
257563,1245634,1
257563,1352114,1
257563,1466037,1
257563,1585291,1
257563,1593789,1
257593,1408072,1
257593,1729902,1
257593,1770039,1
257593,1780183,1
257593,12919104,1
257593,200448686,1
257625,6638,1
257625,252728,1
257625,253021,1
257625,253027,1
257625,1093104,1
257625,1151243,1
