project_id,subject_area,review_board,research_area
177710919,Ernährungswissenschaften,Medizin,Lebenswissenschaften 
183626985,Ernährungswissenschaften,Medizin,Lebenswissenschaften 
220134278,Ernährungswissenschaften,Medizin,Lebenswissenschaften 
73828240,Energieverfahrenstechnik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
104405829,Theorie und Modellierung,Chemische Festkörper- und Oberflächenforschung,Naturwissenschaften 
119193472,Spanende Fertigungstechnik,Produktionstechnik,Ingenieurwissenschaften 
211652309,Spanende Fertigungstechnik,Produktionstechnik,Ingenieurwissenschaften 
185476941,Biochemie und Biophysik der Pflanzen,Pflanzenwissenschaften,Lebenswissenschaften 
185476941,Zell- und Entwicklungsbiologie der Pflanzen,Pflanzenwissenschaften,Lebenswissenschaften 
185476941,Allgemeine Genetik,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
194654335,Hals-Nasen-Ohrenheilkunde,Medizin,Lebenswissenschaften 
194678306,Theater- und Medienwissenschaften,"Kunst-, Musik-, Theater- und Medienwissenschaften",Geistes- und Sozialwissenschaften 
197396619,Neuere deutsche Literatur,Literaturwissenschaft,Geistes- und Sozialwissenschaften 
207383564,Theoretische Physik der kondensierten Materie,Physik der kondensierten Materie,Naturwissenschaften 
237091934,Ur- und Umformtechnik,Produktionstechnik,Ingenieurwissenschaften 
237091934,Mechanisches Verhalten von Konstruktionswerkstoffen,Werkstofftechnik,Ingenieurwissenschaften 
237091934,Beschichtungs- und Oberflächentechnik,Werkstofftechnik,Ingenieurwissenschaften 
