source,target,value
1009794,1508866,1
1009794,1581566,2
1009794,1598502,2
1009794,1610757,1
1009794,1623948,1
1009794,1625604,1
1009794,1635218,1
1009794,1665202,1
1009794,1669687,1
1009794,1674814,1
1009794,1677940,1
1009794,1705526,1
1009794,1727701,1
1009794,1727744,1
1009794,1734720,1
1009794,1821168,1
1009794,1863927,1
1009794,191476668,2
1009794,416931,1
1009794,49619896,1
1009794,52527982,1
1009794,55150320,1
1009794,68523205,1
1009942,1010400,1
1009942,1161160,1
1009942,118742120,1
1009942,1238354,1
1009942,1282414,1
1009942,1287367,1
1009942,1297443,1
1009942,1343252,1
1009942,1351460,1
1009942,1358652,1
1009942,1374616,1
1009942,1383415,1
1009942,1387675,1
1009942,1398239,1
1009942,1411464,1
1009942,1413460,1
1009942,1417565,1
1009942,1420924,1
1009942,1490803,1
1009942,1506435,1
1009942,1529501,1
1009942,1530829,1
1009942,1531345,1
1009942,1627013,1
1009942,167209039,1
1009942,1673622,1
1009942,1709926,1
1009942,1711358,1
1009942,17341794,1
1009942,1734280,1
1009942,1744598,1
1009942,1828741,1
1009942,1852997,1
1009942,18837569,1
1009942,197934751,1
1009942,2044353,1
1009942,216299469,1
1009942,284385522,1
1009942,39399435,1
1009942,48288141,1
1009942,55436630,1
1009988,1002572,1
1009988,1064267,1
1009988,1138395,1
1009988,1177853,1
1009988,129494522,1
1009988,1373956,1
1009988,1427020,1
1009988,1434437,1
1009988,1435327,1
1009988,1459979,1
1009988,1602794,1
1009988,1644497,1
1009988,1695582,1
1009988,1719374,1
1009988,18183306,1
1009988,1968542,1
1009988,235872128,1
1009988,239393288,1
1009988,25556226,1
1010046,1030155,1
1010046,1033031,1
1010046,1064093,1
1010046,1073710,1
1010046,1079310,1
1010046,1101257,1
1010046,1114973,1
1010046,1195719,1
1010046,1354879,1
1010046,1379218,1
1010046,1415045,1
1010046,1440659,1
1010046,1461052,1
1010046,1657952,1
1010046,167533486,1
1010046,167613219,1
1010046,1720360,1
1010046,2024486,1
1010046,251872306,1
1010046,29201091,1
1010046,85399322,1
101004995,1708959,1
101004995,1793631,1
101004995,5303,2
1010059,1023719,2
1010059,1026321,1
1010059,1028011,1
1010059,1068402,2
1010059,1080917,2
1010059,1118426,1
1010059,1224712,3
1010059,1230593,2
1010059,1262825,1
